file,kernel,warmth,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Mem thru,616.25,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,DRAM thru [%],15.42,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Duration,9.06,us
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,L2 hit [%],55.04,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,L1 hit [%],42.66,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Mem Busy [%],21.56,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,SM Busy [%],62.06,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Shmem static,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Occ [%],77.73,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Grid Size,"1,800",
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Waves/SM,1.70,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Warps active,"65,609,216",warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Warps/cyc active,49.75,warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Warps launched,"14,400",warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Act Thr/Warp,32,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Warp Cyc/Inst,20.59,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Elig Warps/Sched,4.87,warp
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,No Eligible [%],36.73,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Coal ld [%],74.00,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Coal st [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Sec/req ld,2.40,sector
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,cold,Sec/req st,1.99,sector
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Exec insns,"3,196,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Total insns,"3,196,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Global ld insns,"288,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Global st insns,"14,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Shared ld insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Shared st insns,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Int insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FP16 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FP32 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FP64 insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Conv insns,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Mem insns (thr),"20,736,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,HFMA,"1,382,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,HMUL,"921,600",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,HADD,"3,686,400",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FFMA,"972,946",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FMUL,"460,800",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,FADD,"921,600",inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DFMA,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DMUL,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DADD,0,inst
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DRAM total,5.58,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DRAM rd,5.58,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 hit sectors,"315,174",sector
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 miss sectors,"275,113",sector
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L1 hit bytes,9.94,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L1 miss bytes,13.15,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Comp thru [%],44.88,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Mem thru,573.79,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,DRAM thru [%],14.29,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Duration,9.73,us
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L2 hit [%],55.28,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,L1 hit [%],43.07,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Mem Busy [%],20.70,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,SM Busy [%],60.61,%
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,DOMINANT:ss_body_0_map_1_1_60_2_7,warm,Shmem static,0,byte/block
