file,kernel,rep,metric,value,unit
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DRAM rd,1.56,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DRAM wr,0,byte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 hit bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 miss bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 hit sectors,"124,638",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 miss sectors,"74,108",sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L1 hit bytes,3.47,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L1 miss bytes,4.20,Mbyte
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 global ld bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 global st bytes,n/a,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Comp thru [%],36.53,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Mem thru,320.11,Gbyte/s
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,DRAM thru [%],7.99,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Duration,4.86,us
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L2 hit [%],65.27,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,L1 hit [%],45.23,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Mem Busy [%],13.87,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,SM Busy [%],44.06,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Regs/thr,32,register/thread
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Shmem static,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Shmem dynamic,0,byte/block
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Occ [%],67.12,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Theo Occ [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Block Size,256,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Grid Size,900,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Waves/SM,0.85,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Warps active,"25,258,248",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Warps/cyc active,42.96,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Warps launched,"7,200",warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Act Thr/Warp,32,
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Warp Cyc/Inst,27.80,cycle
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Elig Warps/Sched,1.81,warp
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,No Eligible [%],60.51,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Coal ld [%],72.55,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Coal st [%],100,%
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Sec/req ld,2.41,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_24_2_11#1,0,Sec/req st,2.00,sector
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_31_3_9,0,Exec insns,"1,800,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_31_3_9,0,Total insns,"1,800,000",inst
vt_profiles-r02b03/vt.f16.ncu-rep,ss_body_map_1_1_31_3_9,0,Global ld insns,"187,200",inst
